index	return	risk	AAPL	SPY	TSLA	MDA.TO	BA	LMT
17	0.021461957454464706	0.0483838229953879	0.16456985716681213	0.6473671085436143	0.004937531852189494	0.15322213695587839	0.0	0.02990336548150566
18	0.021951902389686858	0.049733166458315034	0.16906666259942635	0.6370668441839972	0.007911658182937053	0.1616129457091449	0.0	0.024341889324494548
19	0.02244184732490901	0.05110903746598531	0.1735634680320405	0.6267665798243801	0.01088578451368455	0.1700037544624113	0.0	0.018780413167483412
20	0.022931792260131166	0.05250935080379571	0.17806027346465517	0.6164663154647625	0.01385991084443214	0.1783945632156779	0.0	0.013218937010472269
21	0.023421737195353315	0.053932202619402125	0.18255707889726946	0.6061660511051454	0.016834037175179613	0.18678537196894437	0.0	0.0076574608534611685
22	0.02391168213057547	0.05537585559909646	0.18705388432988365	0.5958657867455284	0.01980816350592715	0.19517618072221096	0.0	0.0020959846964499654
23	0.024401627065797626	0.05683999418918137	0.19103186455146237	0.5818407656120603	0.023207256457839148	0.20392011337863813	0.0	0.0
24	0.024891572001019775	0.0583277580098293	0.19469605098222215	0.5655629519714288	0.026863376023320847	0.21287762102302815	0.0	0.0
25	0.02538151693624193	0.059837825961485465	0.19836023741298178	0.5492851383307974	0.030519495588802535	0.2218351286674183	0.0	0.0
26	0.025871461871464083	0.06136855158350751	0.20202442384374125	0.5330073246901661	0.0341756151542842	0.23079263631180846	0.0	0.0
27	0.026361406806686236	0.06291842716911317	0.20568861027450078	0.5167295110495349	0.037831734719765836	0.23975014395619845	0.0	0.0
28	0.02685135174190839	0.06448607196696943	0.20935279670526044	0.5004516974089034	0.041487854285247525	0.24870765160058866	0.0	0.0
29	0.02734129667713054	0.06607022116158003	0.21301698313602005	0.484173883768272	0.045143973850729185	0.25766515924497874	0.0	0.0
30	0.027831241612352696	0.06766971565824569	0.2166811695667796	0.4678960701276406	0.04880009341621083	0.266622666889369	0.0	0.0
31	0.02832118654757485	0.06928349266969963	0.2203453559975392	0.45161825648700926	0.05245621298169259	0.275580174533759	0.0	0.0
32	0.028811131482797	0.07091057708179793	0.22400954242829865	0.4353404428463781	0.0561123325471742	0.2845376821781491	0.0	0.0
33	0.029301076418019156	0.07255007356268958	0.22767372885905823	0.41906262920574655	0.059768452112655954	0.29349518982253936	0.0	0.0
34	0.029791021353241305	0.07420115937198364	0.23133791528981784	0.40278481556511525	0.06342457167813759	0.3024526974669294	0.0	0.0
35	0.03028096628846346	0.07586307782220639	0.2350021017205773	0.38650700192448395	0.0670806912436193	0.3114102051113195	0.0	0.0
36	0.030770911223685617	0.07753513234325811	0.23866628815133709	0.3702291882838523	0.07073681080910102	0.32036771275570963	0.0	0.0
37	0.031260856158907765	0.07921668110083717	0.24233047458209692	0.3539513746432208	0.07439293037458261	0.32932522040009965	0.0	0.0
38	0.03175080109412992	0.08090713212130128	0.24599466101285608	0.3376735610025898	0.07804904994006423	0.3382827280444899	0.0	0.0
39	0.03224074602935208	0.08260593887773718	0.24965884744361608	0.32139574736195803	0.081705169505546	0.34724023568887996	0.0	0.0
40	0.032730690964574226	0.08431259629478847	0.2533230338743753	0.3051179337213269	0.0853612890710277	0.35619774333327	0.0	0.0
41	0.03322063589979638	0.08602663713281075	0.2569872203051353	0.28884012008069493	0.08901740863650945	0.3651552509776603	0.0	0.0
42	0.03371058083501853	0.08774762871502215	0.2606514067358946	0.2725623064400643	0.09267352820199093	0.3741127586220502	0.0	0.0
43	0.034200525770240686	0.08947516996438318	0.2643155931666546	0.2562844927994322	0.09632964776747271	0.3830702662664405	0.0	0.0
44	0.03469047070546284	0.09120888871989345	0.2679797795974139	0.24000667915880114	0.09998576733295435	0.39202777391083055	1.286507514896395e-21	7.3488180801641e-22
45	0.03518041564068499	0.092948439304796	0.2716439660281734	0.2237288655181697	0.10364188689843604	0.4009852815552208	2.584366914355999e-21	1.5064981097624067e-21
46	0.03567036057590715	0.09469350032179377	0.27530815245893303	0.2074510518775385	0.10729800646391768	0.4099427891996108	3.88016447396521e-21	2.280285311390499e-21
47	0.0361603055111293	0.09644377265280822	0.27897233888969275	0.19117323823690685	0.11095412602939946	0.418900296844001	5.17960690832246e-21	3.0494846175871425e-21
48	0.03665025044635145	0.09819897764303012	0.2826365253204519	0.17489542459627605	0.11461024559488103	0.427857804488391	6.479147952394438e-21	3.822271786370914e-21
49	0.03714019538157361	0.09995885545104491	0.286300711751212	0.15861761095564395	0.11826636516036289	0.4368153121327812	7.779044438152877e-21	4.59403021513586e-21
50	0.037630140316795756	0.10172316354865407	0.28996489818197163	0.1423397973150127	0.12192248472584444	0.4457728197771712	9.079516304227462e-21	5.365669896584001e-21
51	0.03812008525201791	0.10349167535568425	0.2936290846127307	0.12606198367438187	0.1255786042913261	0.45473032742156133	1.0372493044502369e-20	6.134435101252667e-21
52	0.03861003018724007	0.1052641789965763	0.29729327104349096	0.10978417003374953	0.12923472385680784	0.4636878350659516	1.1670947280082123e-20	6.904753581647228e-21
